Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
APSRTC - 5769,NON AC Seater,17:30,20:45,03h 15m,157.0,29 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,APSRTC
APSRTC - 7587,NON AC Seater,18:30,21:45,03h 15m,157.0,40 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,APSRTC
APSRTC - 47135,NON AC Seater,20:15,23:15,03h 00m,157.0,38 Seats available,2.3,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,APSRTC
Shiva Parvathi Tours And Travels,NON AC Sleeper,19:00,01:00,06h 00m,315.0,35 Seats available,0.0,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,APSRTC
APSRTC - 5675,NON AC Seater,16:00,19:15,03h 15m,173.0,4 Seats available,3.3,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,APSRTC
APSRTC - 5759,NON AC Seater,17:45,21:00,03h 15m,173.0,11 Seats available,3.5,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,APSRTC
APSRTC - 7590,NON AC Seater,19:00,22:15,03h 15m,173.0,41 Seats available,3.2,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,APSRTC
Shiva Parvathi Tours And Travels,NON AC Sleeper,01:31,04:30,02h 59m,550.0,4 Seats available,0.0,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,APSRTC
APSRTC - 6745,NON AC Seater,17:00,22:00,05h 00m,365.0,32 Seats available,2.7,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,APSRTC
