Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Shrinath® Travel Agency Pvt. Ltd.,AC Sleeper (2+1),22:50,07:40,08h 50m,INR 800,30 Seats available,3.4,https://www.redbus.in/bus-tickets/swaroopganj-to-bikaner,Swaroopganj to Bikaner,GSRTC
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,22:15,07:00,08h 45m,INR 550,22 Seats available,3.1,https://www.redbus.in/bus-tickets/swaroopganj-to-bikaner,Swaroopganj to Bikaner,GSRTC
Salasar Travels,NON A/C Sleeper (2+1),22:40,10:00,11h 20m,INR 1200,2 Seats available,3.0,https://www.redbus.in/bus-tickets/swaroopganj-to-bikaner,Swaroopganj to Bikaner,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),21:56,06:35,08h 39m,699,19 Seats available,2.8,https://www.redbus.in/bus-tickets/swaroopganj-to-bikaner,Swaroopganj to Bikaner,GSRTC
Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),23:00,07:45,08h 45m,INR 699,38 Seats available,4.0,https://www.redbus.in/bus-tickets/swaroopganj-to-bikaner,Swaroopganj to Bikaner,GSRTC
SHINE STAR LUXARY COACH AND CARGO,AC Sleeper (2+1),20:00,02:45,06h 45m,INR 850,21 Seats available,4.1,https://www.redbus.in/bus-tickets/pali-rajasthan-to-bikaner,Pali (Rajasthan) to Bikaner,GSRTC
Jain travels regd,A/C Seater / Sleeper (2+1),20:30,04:00,07h 30m,INR 550,30 Seats available,"4.3
15",https://www.redbus.in/bus-tickets/pali-rajasthan-to-bikaner,Pali (Rajasthan) to Bikaner,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),23:02,04:35,05h 33m,INR 599,38 Seats available,"3.8
6",https://www.redbus.in/bus-tickets/pali-rajasthan-to-bikaner,Pali (Rajasthan) to Bikaner,GSRTC
Jakhar Travels,A/C Seater / Sleeper (2+1),23:15,06:30,07h 15m,INR 500,24 Seats available,4.0,https://www.redbus.in/bus-tickets/pali-rajasthan-to-bikaner,Pali (Rajasthan) to Bikaner,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),17:00,09:30,16h 30m,INR 1099,39 Seats available,4.0,https://www.redbus.in/bus-tickets/mehsana-to-hanumangarh,Mehsana to Hanumangarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,08:00,11h 00m,INR 899,40 Seats available,4.0,https://www.redbus.in/bus-tickets/sirohi-to-suratgarh,Sirohi (Rajasthan) to Suratgarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),19:30,09:30,14h 00m,INR 999,40 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/abu-road-to-hanumangarh,Abu Road to Hanumangarh,GSRTC
RSRTC - 193351,Express Non AC Seater 2+3,23:15,08:30,09h 15m,INR 474,33 Seats available,3.7,https://www.redbus.in/bus-tickets/ahmedabad-to-jodhpur,Ahmedabad to Jodhpur,GSRTC
Jain travels regd,VE A/C Seater / Sleeper (2+1),22:30,07:19,08h 49m,INR 500,18 Seats available,"4.6
302",https://www.redbus.in/bus-tickets/ahmedabad-to-jodhpur,Ahmedabad to Jodhpur,GSRTC
Gajraj Travels,A/C Sleeper (2+1),22:45,07:20,08h 35m,INR 762,11 Seats available,"4.8
286",https://www.redbus.in/bus-tickets/ahmedabad-to-jodhpur,Ahmedabad to Jodhpur,GSRTC
M R Travels,Volvo Multi Axle Sleeper B11R (2+1),22:20,07:15,08h 55m,INR 1020,7 Seats available,"4.7
279",https://www.redbus.in/bus-tickets/ahmedabad-to-jodhpur,Ahmedabad to Jodhpur,GSRTC
Shree Devnarayan Travels,,23:00,07:45,08h 45m,INR 900,26 Seats available,4.7,https://www.redbus.in/bus-tickets/ahmedabad-to-jodhpur,Ahmedabad to Jodhpur,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),22:30,09:30,11h 00m,INR 899,40 Seats available,4.0,https://www.redbus.in/bus-tickets/sumerpur-to-hanumangarh,Sumerpur (Rajasthan) to Hanumangarh,GSRTC
Shrinath® Travel Agency Pvt. Ltd.,A/C Seater / Sleeper (2+1),22:30,04:45,06h 15m,INR 800,28 Seats available,"2.5
4",https://www.redbus.in/bus-tickets/unjha-to-jodhpur,Unjha to Jodhpur,GSRTC
SHRI VISHWAKARMA TRAVELS (KETU),Non A/C Seater / Sleeper (2+1),23:55,05:25,05h 30m,INR 1200,32 Seats available,3.4,https://www.redbus.in/bus-tickets/unjha-to-jodhpur,Unjha to Jodhpur,GSRTC
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,20:00,03:00,07h 00m,INR 550,22 Seats available,3.1,https://www.redbus.in/bus-tickets/unjha-to-jodhpur,Unjha to Jodhpur,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),19:06,02:55,07h 49m,699,19 Seats available,2.8,https://www.redbus.in/bus-tickets/unjha-to-jodhpur,Unjha to Jodhpur,GSRTC
V K Jain Marvar Travels,NON A/C Sleeper (2+1),22:51,04:56,06h 05m,INR 1200,18 Seats available,4.2,https://www.redbus.in/bus-tickets/unjha-to-jodhpur,Unjha to Jodhpur,GSRTC
RSRTC - 191942,Express Non AC Seater 2+3,19:30,21:00,01h 30m,INR 108,42 Seats available,3.7,https://www.redbus.in/bus-tickets/mehsana-to-palanpur,Mehsana to Palanpur,GSRTC
Shrinath® Travel Agency Pvt. Ltd.,NON AC Seater / Sleeper 2+1,22:45,00:20,01h 35m,INR 300,34 Seats available,3.4,https://www.redbus.in/bus-tickets/mehsana-to-palanpur,Mehsana to Palanpur,GSRTC
Shree Ganesh Travels (KK SIYOL),A/C Seater / Sleeper (2+1),23:45,01:15,01h 30m,INR 300,19 Seats available,3.6,https://www.redbus.in/bus-tickets/mehsana-to-palanpur,Mehsana to Palanpur,GSRTC
Mahaveer Travels (M.T.A),Bharat Benz A/C Sleeper (2+1),18:00,19:50,01h 50m,909,10 Seats available,4.2,https://www.redbus.in/bus-tickets/mehsana-to-palanpur,Mehsana to Palanpur,GSRTC
Mahadev Travels,Bharat Benz A/C Sleeper (2+1),19:10,20:45,01h 35m,1511,13 Seats available,4.3,https://www.redbus.in/bus-tickets/mehsana-to-palanpur,Mehsana to Palanpur,GSRTC
